idMeal,strMeal,strMealAlternate,strCategory,strArea,strCountry,strInstructions,strMealThumb,strTags,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource,strImageSource,strCreativeCommonsConfirmed,dateModified
53138,Alfajores,,Dessert,Argentina,Argentina,"Make the Dough: Cream butter and sugar. Add egg yolks and lemon zest. Gradually mix in flour and cornstarch to form a dough. Chill for 1 hour.
Bake the Cookies: Roll out the dough, cut into circles, and bake at 180°C (350°F) for 12-15 minutes. Let cool.
Assemble: Spread dulce de leche on one cookie, then sandwich with another. Roll the edges in coconut flakes.
Pro Tips:

Chill the dough before rolling it out to make it easier to handle and to prevent the cookies from spreading too much while baking.
Dip the alfajores in melted chocolate and let them set on a wire rack for an extra decadent treat.",https://www.themealdb.com/images/media/meals/a4kgf21763075288.jpg,,https://www.youtube.com/watch?v=9WR40GHpsyo,All purpose flour,Cornstarch,Butter,Sugar,Egg Yolks,Lemon Zest,Dulce de leche,Desiccated Coconut,,,,,,,,,,,,,300g,200g,200g,100g ,2,1 teaspoon, ,Sprinkling, , , , , , , , , , , , ,https://www.munchery.com/blog/the-ten-iconic-dishes-of-argentina-and-how-to-cook-them-at-home/,,,2025-11-13 11:32:17
53111,Anzac biscuits,,Dessert,Australian,Australia,"step 1
Heat oven to 180C/fan 160C/gas 4. Put the oats, coconut, flour and sugar in a bowl. Melt the butter in a small pan and stir in the golden syrup. Add the bicarbonate of soda to 2 tbsp boiling water, then stir into the golden syrup and butter mixture.

step 2
Make a well in the middle of the dry ingredients and pour in the butter and golden syrup mixture. Stir gently to incorporate the dry ingredients.

step 3
Put dessertspoonfuls of the mixture on to buttered baking sheets, about 2.5cm/1in apart to allow room for spreading. Bake in batches for 8-10 mins until golden. Transfer to a wire rack to cool.",https://www.themealdb.com/images/media/meals/q47rkb1762324620.jpg,,https://www.youtube.com/watch?v=1nAVbfQVWRQ,Porridge oats,Desiccated Coconut,Plain Flour,Caster Sugar,Butter,Golden Syrup,Bicarbonate Of Soda,,,,,,,,,,,,,,85g,85g,100g ,100g ,100g ,1 tblsp ,1 teaspoon, , , , , , , , , , , , , ,https://www.bbcgoodfood.com/recipes/anzac-biscuits,,,2025-11-05 04:46:03
53049,Apam balik,,Dessert,Malaysian,Malaysia,"Mix milk, oil and egg together. Sift flour, baking powder and salt into the mixture. Stir well until all ingredients are combined evenly.

Spread some batter onto the pan. Spread a thin layer of batter to the side of the pan. Cover the pan for 30-60 seconds until small air bubbles appear.

Add butter, cream corn, crushed peanuts and sugar onto the pancake. Fold the pancake into half once the bottom surface is browned.

Cut into wedges and best eaten when it is warm.",https://www.themealdb.com/images/media/meals/adxcbq1619787919.jpg,,https://www.youtube.com/watch?v=6R8ffRRJcrg,Milk,Oil,Eggs,Flour,Baking Powder,Salt,Unsalted Butter,Sugar,Peanut Butter,,,,,,,,,,,,200ml,60ml,2,1600g,3 tsp,1/2 tsp,25g,45g,3 tbs, , , , , , , , , , , ,https://www.nyonyacooking.com/recipes/apam-balik~SJ5WuvsDf9WQ,,,
52893,Apple & Blackberry Crumble,,Dessert,British,United Kingdom,"Heat oven to 190C/170C fan/gas 5. Tip the flour and sugar into a large bowl. Add the butter, then rub into the flour using your fingertips to make a light breadcrumb texture. Do not overwork it or the crumble will become heavy. Sprinkle the mixture evenly over a baking sheet and bake for 15 mins or until lightly coloured.
Meanwhile, for the compote, peel, core and cut the apples into 2cm dice. Put the butter and sugar in a medium saucepan and melt together over a medium heat. Cook for 3 mins until the mixture turns to a light caramel. Stir in the apples and cook for 3 mins. Add the blackberries and cinnamon, and cook for 3 mins more. Cover, remove from the heat, then leave for 2-3 mins to continue cooking in the warmth of the pan.
To serve, spoon the warm fruit into an ovenproof gratin dish, top with the crumble mix, then reheat in the oven for 5-10 mins. Serve with vanilla ice cream.",https://www.themealdb.com/images/media/meals/xvsurr1511719182.jpg,Pudding,https://www.youtube.com/watch?v=4vhcOwVBDO4,Plain Flour,Caster Sugar,Butter,Braeburn Apples,Butter,Demerara Sugar,Blackberries,Cinnamon,Ice Cream,,,,,,,,,,,,120g,60g,60g,300g,30g,30g,120g,¼ teaspoon,to serve,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/778642/apple-and-blackberry-crumble,,,
53380,Apple cake,,Dessert,Netherlands,Netherlands,"Preheat the oven to 180°C. (350˚F) Grease a cake pan and line it with baking paper.
In a large bowl, break the four eggs with the sugar and beat until they have tripled in volume and become fluffy.
Sift the self-rising baking flour and add it to your egg mixture. Fold this over, preserving as much air as possible. Add the melted (and slightly cooled) butter and mix until combined.
Add cinnamon, pinch of salt and vanilla extract.
Add the diced apple to the batter and gently fold them into the batter so that the apple pieces are evenly distributed. You can roll the apple pieces through some more cinnamon.
Pour the batter into the prepared cake pan and smooth the top with a spatula.
Place the apple slices on top of the batter and press lightly. Sprinkle optionally with some almond shavings.
Bake the apple cake in the preheated oven for about 45-50 minutes, or until a wooden skewer comes out clean when inserted into the center of the cake.
Remove the cake from the oven and let it cool in the mold for a few minutes. Then carefully remove the cake from the mold and let cool completely on a wire rack.
Sprinkle the cooled apple cake with powdered sugar",https://www.themealdb.com/images/media/meals/c0gmo31766594751.jpg,,https://www.youtube.com/watch?v=vZy-7UyPdjM,Eggs,Sugar,Self-raising Flour,Melted Butter,Vanilla Extract,Ground Cinnamon,Apples,Salt,Ground Sugar,,,,,,,,,,,,4,200g,200g,200g,1 tsp,1 tsp,3,Pinch,Sprinkling, , , , , , , , , , , ,https://insimoneskitchen.com/dutch-apple-cake/#recipe,,,2025-12-24 16:44:00
52768,Apple Frangipan Tart,,Dessert,British,United Kingdom,"Preheat the oven to 200C/180C Fan/Gas 6.
Put the biscuits in a large re-sealable freezer bag and bash with a rolling pin into fine crumbs. Melt the butter in a small pan, then add the biscuit crumbs and stir until coated with butter. Tip into the tart tin and, using the back of a spoon, press over the base and sides of the tin to give an even layer. Chill in the fridge while you make the filling.
Cream together the butter and sugar until light and fluffy. You can do this in a food processor if you have one. Process for 2-3 minutes. Mix in the eggs, then add the ground almonds and almond extract and blend until well combined.
Peel the apples, and cut thin slices of apple. Do this at the last minute to prevent the apple going brown. Arrange the slices over the biscuit base. Spread the frangipane filling evenly on top. Level the surface and sprinkle with the flaked almonds.
Bake for 20-25 minutes until golden-brown and set.
Remove from the oven and leave to cool for 15 minutes. Remove the sides of the tin. An easy way to do this is to stand the tin on a can of beans and push down gently on the edges of the tin.
Transfer the tart, with the tin base attached, to a serving plate. Serve warm with cream, crème fraiche or ice cream.",https://www.themealdb.com/images/media/meals/wxywrq1468235067.jpg,"Tart,Baking,Fruity",https://www.youtube.com/watch?v=rp8Slv4INLk,digestive biscuits,butter,Bramley apples,Salted Butter,caster sugar,"free-range eggs, beaten",ground almonds,almond extract,flaked almonds,,,,,,,,,,,,175g/6oz,75g/3oz,200g/7oz,75g/3oz,75g/3oz,2,75g/3oz,1 tsp,50g/1¾oz,,,,,,,,,,,,,,,
53276,Apricot & Turkish delight mess,,Dessert,Turkish,Turkey,"step 1
Place the mascarpone, yogurt, sugar and orange flower water into a large bowl and whisk until thickened. Fold the remaining ingredients through, then divide the mix between 2 dessert glasses or bowls and decorate with extra mint, if you like.",https://www.themealdb.com/images/media/meals/p277uc1764109195.jpg,,,Mascarpone,Greek Yogurt,Icing Sugar,Orange Blossom Water,Meringue Nests,Apricot,Turkish Delight,Almonds,Mint,,,,,,,,,,,,100g ,50g,25g,2 tablespoons,1,3,2 pieces ,25g,4, , , , , , , , , , , ,https://www.bbcgoodfood.com/recipes/apricot-turkish-delight-mess,,,2025-11-25 22:15:09
53392,Arnhemse meisjes,,Dessert,,Netherlands,"Take your puff pastry from the freezer and defrost.
Sprinkle some flour on the kitchen counter. Stack the sheets of puff pastry on top of each other and roll them out with a rolling pin. You want those five sheets to end up being as thin as one sheet.

Using a round or oval form press into the puff pastry and try to be as economical doing that as possible. You want to have as many cookies as you can.
Mix the vanilla sugar with the cinnamon, cardemom and limezest in a little bowl
Remove the flour from the counter and sprinkle with a bit of the sugar mix.
Brush your puff pastry with a little bit of eggwash and than dip into the sugar mix and roll them softly to press the sugar in.
Put your sugary puff pastry on a baking sheet (greased or with baking paper) and leave the dough to rest for about 20 to 25 minutes. this will make the cookies even crisper.
Preheat the oven in the meantime to 180 C and put the baking tray in the oven.
bake the cookies golden brown in about 25 minutes and make sure the sugar is caramelised nicely
And voila, Girls from Arnhem with an Almeerse twist
Voila, Arnhemse Meisjes met een Almeerse twist.",https://www.themealdb.com/images/media/meals/y4t9zg1777628842.jpg,,https://www.youtube.com/watch?v=AFJm15R4YYw,Puff Pastry,vanilla sugar,Cinnamon,Cardamom,Lime,,,,,,,,,,,,,,,,5 Slices,100g ,1/2 tsp,1/2 ,Zest of 1,,,,,,,,,,,,,,,,https://insimoneskitchen.com/making-your-own-arnhemse-meisjes/#recipe,,,2026-05-01 10:11:23
53127,Authentic Norwegian Kransekake,,Dessert,Norway,Norway,"Grind almonds in an almond grinder or food processor.
▢
Mix almonds and powdered sugar together in a large mixing bowl. Add three of the egg whites and knead the dough together with your hands until it comes together in a ball. Wrap in cling film and leave in the fridge for at least an hour, preferably until the next day.
▢
Grease the kransekake forms thoroughly and coat with semolina, flour, or bread crumbs.
▢
Preheat oven to 210°C (410°F) top and bottom heat. Divide the dough into six sections.
▢
Slowly add the remaining egg white to the dough and knead it until you can roll it into long sausages about as thick as your index finger. Fill the forms with the dough sausages, pinching the ends together to make rings.
▢
Set the forms on a baking sheet and back in the middle of the oven for about 10 – 12 minutes, until the tops are golden brown.",https://www.themealdb.com/images/media/meals/yk78uc1763075719.jpg,,https://www.youtube.com/watch?v=fE85ioKQ7ew,Almonds,Egg White,Powdered Sugar,Powdered Sugar,Egg White,Lemon Juice,,,,,,,,,,,,,,,3 Cups,4,4 cups ,2 cups ,1,1/2 teaspoon, , , , , , , , , , , , , , ,https://scandinaviancookbook.com/classic-norwegian-kransekake-recipe/,,,2025-11-12 11:08:18
52767,Bakewell tart,,Dessert,British,United Kingdom,"To make the pastry, measure the flour into a bowl and rub in the butter with your fingertips until the mixture resembles fine breadcrumbs. Add the water, mixing to form a soft dough.
Roll out the dough on a lightly floured work surface and use to line a 20cm/8in flan tin. Leave in the fridge to chill for 30 minutes.
Preheat the oven to 200C/400F/Gas 6 (180C fan).
Line the pastry case with foil and fill with baking beans. Bake blind for about 15 minutes, then remove the beans and foil and cook for a further five minutes to dry out the base.
For the filing, spread the base of the flan generously with raspberry jam.
Melt the butter in a pan, take off the heat and then stir in the sugar. Add ground almonds, egg and almond extract. Pour into the flan tin and sprinkle over the flaked almonds.
Bake for about 35 minutes. If the almonds seem to be browning too quickly, cover the tart loosely with foil to prevent them burning.",https://www.themealdb.com/images/media/meals/wyrqqq1468233628.jpg,"Tart,Baking,Alcoholic",https://www.youtube.com/watch?v=1ahpSTf_Pvk,plain flour,chilled butter,cold water,raspberry jam,butter,caster sugar,ground almonds,"free-range egg, beaten",almond extract,flaked almonds,,,,,,,,,,,175g/6oz,75g/2½oz,2-3 tbsp,1 tbsp,125g/4½oz,125g/4½oz,125g/4½oz,1,½ tsp,50g/1¾oz,,,,,,,,,,,,,,
