id,čas priprave,težavnost
1,03:00,zahtevno
2,03:45,enostavno
3,01:15,zahtevno
4,01:15,srednje
5,02:15,enostavno
6,00:45,srednje
7,01:00,srednje
8,01:30,zahtevno
9,03:00,srednje
10,01:15,srednje
11,02:30,enostavno
12,02:15,enostavno
13,02:45,srednje
14,03:15,enostavno
15,00:45,zahtevno
16,03:45,enostavno
17,00:30,zahtevno
18,03:30,zahtevno
19,01:45,srednje
20,01:15,enostavno
21,03:30,srednje
22,01:30,zahtevno
23,02:45,enostavno
24,01:45,zahtevno
25,02:45,enostavno
26,03:00,zahtevno
27,01:45,srednje
28,01:15,srednje
29,00:15,srednje
30,01:15,zahtevno
31,00:45,enostavno
32,01:00,srednje
33,03:00,zahtevno
34,03:45,srednje
35,03:30,zahtevno
36,03:30,zahtevno
37,00:15,srednje
38,01:45,enostavno
39,01:15,srednje
40,03:30,srednje
41,00:30,zahtevno
42,00:45,zahtevno
43,02:00,zahtevno
44,00:30,enostavno
45,02:15,zahtevno
46,01:15,enostavno
47,00:30,enostavno
48,00:30,srednje
49,03:15,srednje
50,01:00,enostavno
51,02:45,srednje
52,00:15,srednje
53,02:45,srednje
54,02:00,srednje
55,01:30,srednje
56,01:30,zahtevno
57,02:30,zahtevno
58,03:15,srednje
59,02:45,enostavno
60,00:45,enostavno
61,03:00,enostavno
62,03:45,srednje
63,00:45,srednje
64,01:30,enostavno
65,02:15,enostavno
66,03:00,zahtevno
67,00:45,zahtevno
68,03:45,srednje
69,02:30,zahtevno
70,01:30,enostavno
71,00:15,zahtevno
72,00:45,srednje
73,01:00,srednje
74,01:00,enostavno
75,00:15,srednje
76,01:00,srednje
77,03:45,enostavno
78,00:15,zahtevno
79,03:30,zahtevno
80,02:45,enostavno
81,00:30,zahtevno
82,01:30,zahtevno
83,03:30,enostavno
84,02:15,enostavno
85,03:15,enostavno
86,00:15,zahtevno
87,00:30,enostavno
88,02:00,zahtevno
89,03:45,zahtevno
90,01:45,enostavno
91,00:15,zahtevno
92,01:45,srednje
93,01:30,enostavno
94,02:45,zahtevno
95,00:15,zahtevno
96,03:45,enostavno
97,00:30,srednje
98,01:00,srednje
99,00:15,srednje
100,02:00,zahtevno
101,03:15,srednje
102,02:15,srednje
103,03:30,enostavno
104,02:45,srednje
105,01:30,srednje
106,01:45,zahtevno
107,02:15,zahtevno
108,03:00,srednje
109,02:30,srednje
110,01:00,srednje
111,03:30,zahtevno
112,02:00,zahtevno
113,02:30,enostavno
114,03:30,enostavno
115,02:00,enostavno
116,01:00,zahtevno
117,03:30,srednje
118,02:00,zahtevno
119,03:15,srednje
120,01:00,zahtevno
121,03:45,srednje
122,03:15,srednje
123,03:30,srednje
124,01:30,enostavno
125,00:15,zahtevno
126,00:15,srednje
127,01:00,enostavno
128,02:00,srednje
129,00:30,enostavno
130,03:15,enostavno
