id,ime_sestavine,enota
1,moka,g
2,pšenična moka,g
3,polnozrnata moka,g
4,mandljeva moka,g
5,kokosova moka,g
6,riževa moka,g
7,koruzna moka,g
8,koruzni škrob,g
9,škrob,g
10,sladkor,g
11,rjavi sladkor,g
12,sladkor v prahu,g
13,vaniljev sladkor,g
14,med,g
15,javorjev sirup,ml
16,zlati sirup,ml
17,agavin sirup,ml
18,kokosov sladkor,g
19,maslo,g
20,rastlinsko olje,ml
21,kokosovo olje,ml
22,mleko,ml
23,sladka smetana,ml
24,smetana za kuhanje,ml
25,kisla smetana,ml
26,grški jogurt,g
27,navadni jogurt,g
28,pinjenec,ml
29,kokosovo mleko,ml
30,kondenzirano mleko,ml
31,mleko v prahu,g
32,krem sir,g
33,mascarpone,g
34,ricota,g
35,skuta,g
36,jajca,kos
37,rumenjaki,kos
38,beljaki,kos
39,pecilni prašek,g
40,soda bikarbona,g
41,suhi kvas,g
42,svež kvas,g
43,sol,g
44,kremor tartar,g
45,želatina v listih,kos
46,agar agar,g
47,pektin,g
48,kakav v prahu,g
49,jedilna čokolada,g
50,mlečna čokolada,g
51,bela čokolada,g
52,čokoladne kapljice,g
53,nutela,g
54,dulce de leche,g
55,karamela,g
56,vaniljev ekstrakt,ml
57,vanilija v stroku,kos
58,cimet,g
59,muškatni orešček,g
60,ingver v prahu,g
61,kardamom,g
62,nageljnove žbice,g
63,janež,g
64,rožna voda,ml
65,pomarančna voda,ml
66,mandljev ekstrakt,ml
67,instant kava,g
68,espresso,ml
69,matcha,g
70,jabolka,kos
71,banane,kos
72,limone,kos
73,pomaranče,kos
74,hruške,kos
75,breskve,kos
76,marelice,kos
77,slive,kos
78,mango,kos
79,jagode,g
80,maline,g
81,borovnice,g
82,robide,g
83,češnje,g
84,ribez,g
85,brusnice,g
86,rozine,g
87,sultane,g
88,datlji,g
89,suhe marelice,g
90,suhe slive,g
91,suhe fige,g
92,suhe brusnice,g
93,mandlji,g
94,orehi,g
95,lešniki,g
96,pistacije,g
97,pekani,g
98,arašidi,g
99,indijski oreščki,g
100,pinjole,g
101,kokosovi kosmiči,g
102,mak,g
103,sezam,g
104,arašidovo maslo,g
105,mandljevo maslo,g
106,pistacijeva pasta,g
107,tahini,g
108,marzipan,g
109,limonin sok,ml
110,pomarančni sok,ml
111,limonina lupina,g
112,pomarančna lupina,g
113,voda,ml
114,rum,ml
115,amaretto,ml
116,konjak,ml
117,grand marnier,ml
118,baileys,ml
119,biskvitne drobtine,g
120,graham drobtine,g
121,ovseni kosmiči,g
122,marmelada,g
123,malinov džem,g
124,jagodni džem,g
125,marelični džem,g
126,limonin kurd,g
127,fondant,g
128,sladkorna glazura,g
129,jedilno zlato,g
130,barvilo za živila,ml
