id,ime,cas_priprave,postopek,kratek_opis,avtor,tezavnost,kategorija
1,Čokoladna torta,90,"Najprej pečico segrejemo na 180 °C. Čokolado in maslo stopimo nad paro ter pustimo, da se nekoliko ohladi. V večji posodi stepemo jajca in sladkor, dokler masa ne postane svetla in puhasta. Dodamo stopljeno čokolado, moko in pecilni prašek ter nežno premešamo. Maso vlijemo v namaščen tortni model in pečemo približno 45 minut. Medtem pripravimo čokoladno kremo iz sladke smetane in čokolade. Ohlajen biskvit prerežemo na dve plasti, premažemo s kremo in torto okrasimo s čokoladnimi ostružki.","Bogata čokoladna torta z mehkim biskvitom in kremasto čokoladno sredico.",12,3,1
2,Vanilijevi mafini,45,"V eni posodi zmešamo moko, pecilni prašek in sladkor. V drugi posodi stepemo jajca, mleko in stopljeno maslo. Mokre sestavine postopoma primešamo suhim in dodamo vanilijev ekstrakt. Maso razdelimo v modelčke za mafine do približno dveh tretjin višine. Mafine pečemo 20–25 minut, da postanejo zlato rjavi. Pred serviranjem jih ohladimo in po želji posujemo s sladkorjem v prahu.","Mehki in rahli mafini z nežnim okusom vanilije.",34,1,3
3,Jagodni cheesecake,135,"Piškote zdrobimo v drobne drobtine in jih zmešamo s stopljenim maslom. Zmes vtisnemo na dno tortnega modela. Kremni sir stepemo s sladkorjem, dodamo jajca in vanilijo. Kremo vlijemo na podlago in pečemo približno eno uro pri nižji temperaturi. Ko se torta ohladi, jo premažemo z jagodnim prelivom iz svežih jagod in sladkorja ter postavimo v hladilnik za vsaj dve uri.","Osvežilna torta z bogato sirno kremo in sladkimi jagodami.",7,2,1
4,Masleni piškoti,60,"Iz moke, masla, sladkorja in jajca zgnetemo gladko testo. Testo zavijemo v folijo in ga pustimo počivati v hladilniku približno 30 minut. Nato ga razvaljamo na pomokani površini in z modelčki izrežemo različne oblike. Piškote pečemo 10–12 minut pri 180 °C, dokler rahlo ne porjavijo. Ohlajene lahko okrasimo s čokolado ali sladkorno glazuro.","Klasični domači piškoti, ki se odlično podajo k čaju ali kavi.",58,1,2
5,Čokoladni mousse,45,"Temno čokolado stopimo nad paro in pustimo, da se nekoliko ohladi. Sladko smetano stepemo do mehkih vrhov. Ločeno stepemo beljake s sladkorjem. V stopljeno čokolado najprej vmešamo rumenjake, nato stepeno smetano in na koncu še beljake. Mousse razdelimo v kozarčke in ga hladimo vsaj dve uri. Pred serviranjem ga okrasimo z naribano čokolado ali sadjem.","Lahka in puhasta čokoladna krema intenzivnega okusa.",91,2,6
6,Sadna pita,75,"Iz moke, masla in sladkorja pripravimo krhko testo. Testo razvaljamo in položimo v model za pito. Podlago pečemo približno 15 minut. Nato dodamo vanilijevo kremo in sveže sadje, kot so jagode, borovnice in kivi. Pito pečemo še dodatnih 20 minut in jo pred serviranjem dobro ohladimo.","Hrustljava pita s svežim sadjem in nežno vanilijevo kremo.",23,2,8
7,Tiramisu,60,"Skuhamo močno kavo in jo ohladimo. Rumenjake stepemo s sladkorjem, nato dodamo mascarpone. Beljake posebej stepemo v trd sneg in jih nežno vmešamo v kremo. Baby piškote pomočimo v kavo in jih zlagamo v pekač. Čez nanesemo plast kreme in postopek ponovimo. Tiramisu hladimo čez noč ter ga pred serviranjem posujemo s kakavom.","Tradicionalna italijanska sladica s kavno aromo in mascarponejem.",45,1,6
8,Kokosove kroglice,30,"Piškote zdrobimo in jih zmešamo s kakavom, kokosom in kondenziranim mlekom. Maso dobro pregnetemo in oblikujemo majhne kroglice. Vsako kroglico povaljamo v kokosovi moki. Sladico postavimo v hladilnik za vsaj 30 minut, da se strdi.","Hitre kokosove sladice brez peke.",16,1,4
9,Browniji,45,"Čokolado in maslo stopimo nad paro. Dodamo sladkor in eno po eno umešamo jajca. Nato primešamo moko in ščepec soli. Maso vlijemo v manjši pekač in pečemo približno 25 minut. Browniji morajo ostati rahlo mehki v sredini. Pred rezanjem jih popolnoma ohladimo.","Mehki čokoladni browniji z bogatim okusom kakava.",62,1,4
10,Limonina pita,75,"Najprej pripravimo krhko testo in ga spečemo do zlato rumene barve. Medtem v kozici segrejemo limonin sok, sladkor in maslo. Dodamo stepena jajca ter mešamo, dokler se krema ne zgosti. Kremo vlijemo na pečeno testo in pito pečemo še približno 20 minut. Ohlajeno pito postrežemo s stepeno smetano.","Osvežilna pita z izrazitim okusom limone.",84,2,8
